anio,variable,etiqueta,tipo_pandas,n_obs,n_missing,pct_missing,n_categorias_unicas,tiene_value_labels,value_label_set
1997,id,,str,2033,0,0.0,2033,False,
1997,clave,,float64,2033,0,0.0,156,False,
1997,ESTADO,ESTADO,float64,2033,0,0.0,27,False,
1997,MUNICIPIO,,float64,2033,0,0.0,54,False,
1997,EDO_MPIO,,float64,2033,0,0.0,82,False,
1997,estratop,ESTRATO POLITICO,float64,2033,0,0.0,12,False,
1997,estrato,ESTRATO SOCIAL,float64,2033,0,0.0,5,False,
1997,ageb,,str,2033,0,0.0,132,False,
1997,manz,,float64,2033,0,0.0,6,False,
1997,loc,,float64,2033,0,0.0,3,False,
1997,folio,,float64,2033,0,0.0,20,False,
1997,sup,,float64,2033,0,0.0,41,False,
1997,ver,,float64,2033,0,0.0,3,False,
1997,hora,,float64,2033,0,0.0,17,False,
1997,min,,float64,2033,0,0.0,60,False,
1997,dia,,float64,2033,0,0.0,14,False,
1997,p1,SATISFECHO FORMA FUNCIONA DEMOCRACIA MEXICO,float64,2033,0,0.0,6,False,
1997,p2,ELECCION EN MEXICO FUE LIMPIA,float64,2033,0,0.0,7,False,
1997,p3,SIMPATIZA CON ALGUN PARTIDO EN PARTICULAR,float64,2033,0,0.0,4,False,
1997,p3_1,SIMPATIZA ¨QUE PARTIDO?,float64,2033,1125,55.34,10,False,
1997,p3b,SIMPATIZA + ALGUN PART.POL. QUE CON OTROS,float64,2033,908,44.66,4,False,
1997,p3c,¨DE QUE PARTIDO?,float64,2033,1800,88.54,9,False,
1997,p3d,¨QUE TANTO SIMPATIZA CON ESE PARTIDO?,float64,2033,918,45.15,5,False,
1997,p4,PART.POL.SE PREOCUPAN NECESIDADES GENTE,float64,2033,0,0.0,7,False,
1997,p5,PART.POL.SON NECESARIOS EN MEXICO,float64,2033,0,0.0,7,False,
1997,p6,RECUERDA NOMBRES CAND.DIP.FED.EN SU DISTRITO,float64,2033,0,0.0,4,False,
1997,p6_1,NOMBRES:,float64,2033,1417,69.7,279,False,
1997,p6_2,NOMBRES:,float64,2033,1783,87.7,167,False,
1997,p6_3,NOMBRES:,float64,2033,1940,95.43,76,False,
1997,p6_4,NOMBRES:,float64,2033,2016,99.16,16,False,
1997,p6_5,NOMBRES:,float64,2033,2028,99.75,5,False,
1997,p6_6,NOMBRES:,float64,2033,2033,100.0,0,False,
1997,p6_7,NOMBRES:,float64,2033,2033,100.0,0,False,
1997,p6_8,NOMBRES:,float64,2033,2033,100.0,0,False,
1997,p7_1,CALIFACION: PAN,float64,2033,0,0.0,14,False,
1997,p7_2,CALIFACION: PRI,float64,2033,0,0.0,14,False,
1997,p7_3,CALIFACION: PRD,float64,2033,0,0.0,14,False,
1997,p7_4,CALIFACION: PT,float64,2033,0,0.0,14,False,
1997,p7_5,CALIFACION: PVEM,float64,2033,0,0.0,14,False,
1997,p7_6,CALIFACION: PC,float64,2033,0,0.0,14,False,
1997,p7_7,CALIFACION: PPS,float64,2033,0,0.0,14,False,
1997,p7_8,CALIFACION: PDM,float64,2033,0,0.0,14,False,
1997,p8_1,CALIFACION: FELIPE CALDERON,float64,2033,0,0.0,14,False,
1997,p8_2,CALIFACION: EZP,float64,2033,0,0.0,14,False,
1997,p8_3,CALIFACION: CCS,float64,2033,0,0.0,14,False,
1997,p8_4,CALIFACION: DFC,float64,2033,0,0.0,14,False,
1997,p8_5,CALIFACION: MANUEL LOPEZ OBRADOR,float64,2033,0,0.0,14,False,
1997,p8_6,CALIFACION: CSG,float64,2033,0,0.0,14,False,
1997,p8_7,CALIFACION: HUMBERTO ROQUE VILLANUEVA,float64,2033,0,0.0,14,False,
1997,p9,SITUACION ECONOMICA DE MEXICO,float64,2033,0,0.0,7,False,
1997,p10,¨ULTIMOS 12 MESES SIT.ECONOMICA HA MEJORADO?,float64,2033,0,0.0,5,False,
1997,p10_1,HA MEJORADO MUCHO O POCO,float64,2033,1589,78.16,4,False,
1997,p10_2,HA EMPEORADO MUCHO O POCO,float64,2033,1369,67.34,4,False,
1997,p11,DIP.SE PREOCUPAN NECESIDADES DE LA GENTE,float64,2033,0,0.0,7,False,
1997,p12,HA TENIDO CONTACTO CON ALGUN DIP.FED.,float64,2033,0,0.0,4,False,
1997,p13,DONDE UBICARIA IMPORTA CUAL PARTIDO GOB.,float64,2033,0,0.0,7,False,
1997,p14,VOTO INFLUYE LO QUE SUCEDE PAIS,float64,2033,0,0.0,7,False,
1997,p15,MEXICANOS DICEN LO QUE SIENTEN X GOBIERNO,float64,2033,0,0.0,7,False,
1997,p16_1,SE CONSIDERA DE IZQUIERDA O DE DERECHA,float64,2033,0,0.0,13,False,
1997,p16_2,DONDE UBICARIA AL PAN  IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p16_3,DONDE UBICARIA AL PRI  IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p16_4,DONDE UBICARIA AL PRD  IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p16_5,DONDE UBICARIA AL PT   IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p16_6,DONDE UBICARIA AL PVEM IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p16_7,DONDE UBICARIA AL PC   IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p16_8,DONDE UBICARIA AL PPS  IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p16_9,DONDE UBICARIA AL PDM  IZQUIERDA O DERECHA,float64,2033,0,0.0,13,False,
1997,p17,VOTO ELEC 6-JUL-97 PARA ELEGIR DIP.FED.,float64,2033,0,0.0,4,False,
1997,p19,CUANDO DECIDIO POR QUIEN VOTAR,float64,2033,491,24.15,15,False,
1997,p20,RAZONES + IMPORTANTES PARA DECIDIR VOTO,float64,2033,491,24.15,23,False,
1997,p20b,HOY OTRA VEZ ELEC.DIP.FED.¨POR QUIEN VOTARIA?,float64,2033,0,0.0,12,False,
1997,p21,SIT.ECONOMICA PAIS DENTRO DE UN A¥O,float64,2033,0,0.0,8,False,
1997,p22,¨CUAL ES EL PRINCIPAL PROBLEMA DEL PAIS?,float64,2033,0,0.0,47,False,
1997,p22a,CRISIS ECON.¨CUAL ES PROBLEMA MAS GRAVE?,float64,2033,1258,61.88,33,False,
1997,p23,ACUERDO COMO ESTA GOBERNANDO PDTE EZP,float64,2033,0,0.0,6,False,
1997,p24_1,PARTIC/GOB: PROPIETARIO DE EMPRESAS,float64,2033,0,0.0,5,False,
1997,p24_2,PARTIC/GOB: SUBSIDIANDO ALGUNOS PRODUCTOS,float64,2033,0,0.0,5,False,
1997,p24_3,PARTIC/GOB: PLANEANDO LA ECONOMIA,float64,2033,0,0.0,5,False,
1997,p25,CON CUAL DICHO ESTA MAS DE ACUERDO...,float64,2033,0,0.0,6,False,
1997,p26,ULTIMO A¥O SIT/ECO/PERSONAL HA MEJORADO,float64,2033,0,0.0,8,False,
1997,p26a,SIT/ECO ¨A QUE SE DEBE HAYA MEJORADO?,float64,2033,1309,64.39,30,False,
1997,p26b,SIT/ECO ¨A QUE SE DEBE SIGA IGUAL BIEN?,float64,2033,1767,86.92,19,False,
1997,p26c,SIT/ECO ¨A QUE SE DEBE SIGA IGUAL MAL?,float64,2033,1718,84.51,18,False,
1997,p26d,SIT/ECO ¨CULPABLE DE QUE HAYA EMPEORADO?,float64,2033,1345,66.16,24,False,
1997,p27,COMO SERA SIT/ECO/PERS/EL PROXIMO A¥O...,float64,2033,0,0.0,8,False,
1997,p28,COMO SON RELACIONES ENTRE MEXICO Y EU,float64,2033,0,0.0,5,False,
1997,p29,CON UN GOB.PAN: GOB.+ O - PROP.EMPRESAS,float64,2033,0,0.0,5,False,
1997,p30,CON UN GOB.PRD: GOB.+ O - PROP.EMPRESAS,float64,2033,0,0.0,5,False,
1997,p31,CON UN GOB.PRI: GOB.+ O - PROP.EMPRESAS,float64,2033,0,0.0,5,False,
1997,p32_1,AUMENTADO O DISMINUIDO: CORRUPCION,float64,2033,0,0.0,5,False,
1997,p32_2,AUMENTADO O DISMINUIDO: POBREZA,float64,2033,0,0.0,5,False,
1997,p32_3,AUMENTADO O DISMINUIDO: DELINCUENCIA,float64,2033,0,0.0,5,False,
1997,p32_4,AUMENTADO O DISMINUIDO: DESEMPLEO,float64,2033,0,0.0,5,False,
1997,p32_5,AUMENTADO O DISMINUIDO: INFLACION,float64,2033,0,0.0,5,False,
1997,p33,¨SABE QUE SON LAS AFORES?,float64,2033,0,0.0,3,False,
1997,p33a,PALABRAS ¨QUE SON LAS AFORES?,float64,2033,961,47.27,27,False,
