anio,fuente,institucion,universo,modo,fechas_levantamiento,tamano_muestra,dominios_estratos,metodo_seleccion,margen_error,nivel_confianza,ponderadores_campo_original,ponderadores_en_dta,notas
1997,Ficha oficial,No especificada explícitamente en la nota (serie histórica CIDE),Personas mayores de 18 años,"Cara a cara, encuesta nacional en vivienda",14 al 29 de julio de 1997,2033,"4 dominios de estudio (542, 950, 301 y 240 entrevistas)",Secciones: muestreo sistemático PPT (listado nominal). Manzana y vivienda: sistemático. Respondente: cuotas de sexo y edad.,±3.0 pts,95%,"PONDE (nota técnica) / factor ajuste PSEX2 (postestrat. sexo-edad, Censo 1990)","PONDERADOR, PONDFIN",Nombres de campo cambiaron entre la nota técnica original y el .dta actual (PONDE -> PONDERADOR/PONDFIN).
2000,Ficha oficial,No especificada explícitamente en la nota,Personas mayores de 18 años,"Cara a cara, encuesta nacional en vivienda",15 al 20 de julio de 2000,1800,"5 dominios por competencia electoral en 2 elecciones federales previas (315,315,405,405,360 entrevistas)",Secciones: sistemático PPT. Manzana y vivienda: sistemático. Respondente: cuotas sexo/edad.,±2.5 pts,95%,PONDE / ajuste PONDSEX (Censo 1995),"PONDERADOR, PONDFIN",
2003,Ficha oficial,No especificada explícitamente en la nota,Personas de 18 a 79 años con credencial de elector,"Cara a cara, encuesta nacional en vivienda",19 al 26 de julio de 2003,2000,"2 dominios: distritos donde PVEM contendió solo (1,200 entrevistas/120 secciones) y en alianza (800/80 secciones)",Secciones: sistemático PPT. Manzana y vivienda: sistemático. Respondente: cuotas sexo/edad.,±3 pts,95%,Ponderador de diseño + ajuste por no respuesta + ajuste sexo/edad,"PONDERADOR, PONDFIN (PONDFIN etiquetado como deflactado)",
2006,Ficha oficial,No especificada explícitamente en la nota,Personas mayores de 18 años,"Cara a cara, encuesta nacional en vivienda",23 de julio al 2 de agosto de 2006,1600,"4 dominios por partido gobernante estatal (PAN / PRI-norte / PRI-centro-sur / PRD), 400 entrevistas y 40 secciones c/u",Secciones: sistemático PPT. Manzana y vivienda: sistemático. Respondente: cuotas sexo/edad.,±2.5 pts,95%,PONDE / ajuste PONDSEX (Censo 2000),"PONDERADOR, PONDFIN",
2009,Ficha oficial (CSES),CIDE,Ciudadanos de la República Mexicana (post-electoral),Cara a cara en vivienda,Días posteriores a la elección federal del 5 de julio de 2009,2400,3 dominios (con elección de gobernador / con elección de legislatura local / sin elección concurrente) x 4 estratos de competencia electoral c/u,Polietápico de conglomerados: UPM=sección (PPT s/listado nominal) -> manzana (sistemático) -> vivienda (sistemático) -> individuo (método del último cumpleaños),±2.8 pts,95%,Factor de expansión = inverso de prob. de selección + ajuste no respuesta y sexo/edad. Efecto de diseño asumido = 2,"PONDERADOR, PONDFIN, PONDDOM",Única ficha con fórmula de margen de error y efecto de diseño documentados explícitamente.
2012,INFERIDO (sin ficha metodológica),CIDE (cuestionario dice 'CIDE-CSES POST ELECTORAL 2012'),"Adultos 18+ en vivienda, post-electoral (referencia a elección presidencial del 1-jul-2012)",Cara a cara en vivienda (inferido del formato del cuestionario),No identificada en datos ni cuestionario — PENDIENTE,2400,No documentado — PENDIENTE,"INFERIDO por continuidad de formato: mismo encabezado de campo (Encuestador/Estado/Municipio/Sección/Mz./Folio) y mismo protocolo de selección de respondente (roster de miembros 18+ y selección por cumpleaños más reciente) que 2009 y 2018, consistente con diseño polietápico de conglomerados. No confirmado con ficha propia.",No documentado,No documentado,N/A (sin ficha),"PONDERADOR, PONDFIN",Nivel de confianza del inferido: MEDIO. No se encontró variable de fecha de levantamiento en el .dta.
2015,INFERIDO (sin ficha metodológica),CIDE (cuestionario dice 'CIDE-CSES POST ELECTORAL 2015 NACIONAL'),"Adultos 18+ en vivienda, post-electoral",Cara a cara en vivienda (inferido del formato del cuestionario),"Recuperable directamente del .dta (variable 'fecha', 5 fechas únicas)",2397,No documentado — PENDIENTE,INFERIDO por continuidad de formato: mismo protocolo de selección de respondente (roster + último cumpleaños) que 2009/2018; encabezado agrega campo 'Localidad'. Dos versiones del cuestionario (Publicidad / Clientelismo) sugieren split-sample de módulos experimentales sobre la misma muestra base.,No documentado,No documentado,N/A (sin ficha),"PONDERADOR, PONDFIN ('Ponderador nacional')","Nivel de confianza del inferido: MEDIO-ALTO (fecha exacta sí disponible en datos). Variables geográficas adicionales: mpio, edompio."
2018,Ficha oficial (panel CSES),"CIDE (diseño de muestra) + Ipsos (levantamiento en campo, contratado)","Hombres y mujeres 18+ con credencial de elector, nacional","Panel cara a cara, 4 olas (pre y post elección 2018)","Ola1: 27-may al 4-jun-2018 (2,600 contactados); Ola2: 22-28 jun-2018; Ola3: 12-18 jul-2018; Ola4: 26-ene al 5-feb-2019 (1,018 remanentes, 66% retención)",1239,"4 estratos por partido gobernante (PAN/PRI-norte/PRI-sur/PRD), sub-divididos por estratos de competencia electoral (elección diputados federal 2015)","Polietápico de conglomerados: UPM=sección (PPT s/listado nominal 2015) -> manzana (aleatorio sistemático) -> vivienda (aleatorio sistemático) -> individuo (método del último cumpleaños, sustitución en sentido horario)",No reportado en esta nota,No reportado en esta nota,No especificado en esta nota,"PONDERADOR, PONDFIN ('Ponderador')","Único año con diseño panel (pre/post electoral); el resto de la serie es post-electoral de corte transversal. n=1,239 corresponde a los entrevistados en olas 2-3 (ola 1 tuvo 2,600 contactos iniciales)."
2021,INFERIDO (sin ficha metodológica),CIDE (cuestionario dice 'CIDE CSES NACIONAL 2021'),"Adultos, post-electoral (referencia implícita a elección federal 2021)",INCIERTO — el protocolo de roster/último cumpleaños visible en años previos NO aparece en las primeras páginas revisadas del cuestionario 2021; no se debe asumir el mismo modo de aplicación sin confirmar (coincide con periodo post-pandemia),Recuperable del .dta (variable 'FECHAENT'),1800,No documentado — PENDIENTE,"INCIERTO. Mismo encabezado de campo (Estado/Municipio/Sección/Mz./Folio) que años previos, pero el protocolo de selección de respondente no se confirmó visualmente en el cuestionario revisado.",No documentado,No documentado,N/A (sin ficha),"PONDERADOR, PONDFIN",Nivel de confianza del inferido: BAJO-MEDIO. Revisar el cuestionario completo (no solo primeras páginas) antes de asumir continuidad de diseño con años anteriores.
2024,INFERIDO (sin ficha metodológica),"Consorcio internacional: El Colegio de México, University of Massachusetts, University of Connecticut (cambio institucional vs. años previos liderados por CIDE)","Adultos, post-electoral",INCIERTO — mismo comentario que 2021 (protocolo de roster no confirmado en primeras páginas),Recuperable del .dta (variable 'Fecha'),2700,"No documentado — PENDIENTE. Cuestionario incluye 3 versiones/módulos experimentales (Version 1, 2 y 3) sobre la misma muestra base.",INCIERTO. Mismo encabezado de campo (Estado/Municipio/Sección/Mz./Folio). Primer documento de la serie que usa explícitamente el nombre 'Estudio Nacional Electoral de México (ENEM)'.,No documentado,No documentado,N/A (sin ficha),"PONDERADOR, PONDFIN","Nivel de confianza del inferido: BAJO-MEDIO. Cambio de institución responsable respecto a años anteriores — documentarlo explícitamente en el paquete. Mayor tamaño de muestra de toda la serie (n=2,700)."
